Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Type,Gender,Age_Group,City,State,Region,Store_ID,Store_Name,Salesperson,Product_ID,Product_Name,Category,Sub_Category,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method,Order_Status,Target
ORD0100011,2025-04-23,C04953,"Customer 04953",Regular,Male,36-45,Pune,Maharashtra,West,ST002,"Pune FC Road",Meera,P005,"Women Handbag",Accessories,Women,1,1799.00,0.03,1745.03,980.00,765.03,UPI,Completed,1708.27
ORD0100012,2025-04-11,C01728,"Customer 01728",Regular,Male,18-25,Pune,Maharashtra,West,ST002,"Pune FC Road",Meera,P014,"Fitness Band","Sports & Fitness",Fitness,2,1899.00,0.03,3684.06,2240.00,1444.06,UPI,Completed,3579.79
ORD0100013,2025-04-11,C05144,"Customer 05144",Corporate,Male,26-35,Kolkata,"West Bengal",East,ST013,"Kolkata Park Street",Kabir,P016,Backpack,Bags,Unisex,1,1499.00,0.05,1424.05,820.00,604.05,UPI,Completed,1415.23
ORD0100014,2025-04-24,C00592,"Customer 00592",Regular,Male,36-45,Surat,Gujarat,West,ST004,"Surat Ring Road",Meera,P017,"Travel Trolley",Bags,Unisex,1,3999.00,0.10,3599.10,2450.00,1149.10,Cash,Completed,3623.62
ORD0100015,2025-04-21,C04517,"Customer 04517",Corporate,Male,18-25,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Diya,P005,"Women Handbag",Accessories,Women,4,1799.00,0.05,6836.20,3920.00,2916.20,UPI,Completed,6444.55
ORD0100016,2025-04-04,C02261,"Customer 02261",Regular,Male,18-25,Kochi,Kerala,South,ST012,"Kochi MG Road",Rohan,P016,Backpack,Bags,Unisex,1,1499.00,0.08,1379.08,820.00,559.08,Card,Completed,1424.92
ORD0100017,2025-04-08,C02948,"Customer 02948",Regular,Female,18-25,Bengaluru,Karnataka,South,ST009,"Bengaluru Indiranagar",Meera,P001,"Premium T-Shirt",Apparel,Men,4,899.00,0.08,3308.32,2080.00,1228.32,UPI,Completed,3511.03
ORD0100018,2025-04-24,C00348,"Customer 00348",Regular,Female,36-45,Kolkata,"West Bengal",East,ST013,"Kolkata Park Street",Ananya,P001,"Premium T-Shirt",Apparel,Men,1,899.00,0.05,854.05,520.00,334.05,Cash,Completed,823.71
ORD0100019,2025-04-03,C00166,"Customer 00166",Regular,Female,26-35,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Kabir,P011,"Wireless Earbuds",Electronics,Audio,1,2299.00,0.03,2230.03,1360.00,870.03,UPI,Completed,2115.99
ORD0100020,2025-04-22,C05033,"Customer 05033",Regular,Female,26-35,Patna,Bihar,East,ST015,"Patna Fraser Road",Vikram,P001,"Premium T-Shirt",Apparel,Men,2,899.00,0.05,1708.10,1040.00,668.10,UPI,Completed,1779.30
ORD0100021,2025-04-21,C04444,"Customer 04444",Corporate,Female,18-25,Pune,Maharashtra,West,ST002,"Pune FC Road",Aarav,P006,"Leather Wallet",Accessories,Men,2,799.00,0.03,1550.06,840.00,710.06,Card,Completed,1471.58
ORD0100022,2025-04-02,C02897,"Customer 02897",Regular,Female,36-45,Pune,Maharashtra,West,ST002,"Pune FC Road",Ananya,P013,"Yoga Mat","Sports & Fitness",Fitness,2,699.00,0.00,1398.00,720.00,678.00,Cash,Completed,1295.39
ORD0100023,2025-04-24,C04494,"Customer 04494",Regular,Male,26-35,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Diya,P006,"Leather Wallet",Accessories,Men,3,799.00,0.03,2325.09,1260.00,1065.09,Cash,Completed,2369.45
ORD0100024,2025-04-12,C00583,"Customer 00583",Regular,Female,26-35,Patna,Bihar,East,ST015,"Patna Fraser Road",Aarav,P003,"Denim Jeans",Apparel,Men,1,1999.00,0.15,1699.15,1180.00,519.15,UPI,Completed,1628.40
ORD0100025,2025-04-30,C03507,"Customer 03507",Regular,Male,36-45,Kochi,Kerala,South,ST012,"Kochi MG Road",Ishita,P005,"Women Handbag",Accessories,Women,3,1799.00,0.00,5397.00,2940.00,2457.00,Cash,Completed,5113.60
ORD0100026,2025-04-06,C04404,"Customer 04404",Regular,Female,36-45,Mumbai,Unknown,West,ST001,"Mumbai Central",Meera,P008,"Casual Sneakers",Footwear,Unisex,1,2199.00,0.05,2089.05,1300.00,789.05,Card,Completed,2250.02
ORD0100027,2025-04-02,C03039,"Customer 03039",Corporate,Female,26-35,Surat,Gujarat,West,ST004,"Surat Ring Road",Rohan,P008,"Casual Sneakers",Footwear,Unisex,3,2199.00,0.08,6069.24,3900.00,2169.24,UPI,Completed,5867.12
ORD0100028,2025-04-28,C02846,"Customer 02846",Regular,Male,36-45,Patna,Bihar,East,ST015,"Patna Fraser Road",Kabir,P015,"Water Bottle","Home & Lifestyle",Lifestyle,1,499.00,0.05,474.05,220.00,254.05,"Net Banking",Completed,504.65
ORD0100029,2025-04-21,C02767,"Customer 02767",Regular,Female,26-35,Surat,Gujarat,West,ST004,"Surat Ring Road",Vikram,P015,"Water Bottle","Home & Lifestyle",Lifestyle,3,499.00,0.05,1422.15,660.00,762.15,Card,Completed,1348.93
ORD0100030,2025-04-01,C04195,"Customer 04195",Regular,Male,36-45,Kochi,Kerala,South,ST012,"Kochi MG Road",Diya,P008,"Casual Sneakers",Footwear,Unisex,2,2199.00,0.05,4178.10,2600.00,1578.10,Card,Completed,4391.33
ORD0100031,2025-04-12,C01266,"Customer 01266",Corporate,Male,26-35,Kochi,Kerala,South,ST012,"Kochi MG Road",Rohan,P016,Backpack,Bags,Unisex,1,1499.00,0.03,1454.03,820.00,634.03,Wallet,Completed,1454.50
ORD0100032,2025-04-26,C04254,"Customer 04254",Regular,Male,18-25,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Diya,P002,"Casual Shirt",Apparel,Men,3,1299.00,0.00,3897.00,2280.00,1617.00,Card,Completed,3634.25
ORD0100033,2025-04-22,C04650,"Customer 04650",Corporate,Female,36-45,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Kabir,P004,"Women Kurti",Apparel,Women,1,1199.00,0.15,1019.15,690.00,329.15,UPI,Completed,1057.24
ORD0100034,2025-04-29,C04747,"Customer 04747",Regular,Female,36-45,Jaipur,Rajasthan,North,ST007,"Jaipur MI Road",Ananya,P016,Backpack,Bags,Unisex,1,1499.00,0.03,1454.03,820.00,634.03,"Net Banking",Completed,1545.24
ORD0100035,2025-04-12,C02968,"Customer 02968",Corporate,Female,26-35,Surat,Gujarat,West,ST004,"Surat Ring Road",Kabir,P007,"Running Shoes",Footwear,Sports,3,2499.00,0.05,7122.15,4500.00,2622.15,UPI,Completed,6738.14
ORD0100036,2025-04-25,C02275,"Customer 02275",Regular,Male,18-25,Bhubaneswar,Odisha,East,ST014,"Bhubaneswar Patia",Meera,P020,"Cushion Set","Home & Lifestyle",Home,1,799.00,0.05,759.05,410.00,349.05,Card,Completed,786.45
ORD0100037,2025-04-17,C02471,"Customer 02471",Regular,Female,46-55,Jaipur,Rajasthan,North,ST007,"Jaipur MI Road",Diya,P008,"Casual Sneakers",Footwear,Unisex,1,2199.00,0.00,0.00,1300.00,0.00,UPI,Cancelled,0.00
ORD0100038,2025-04-27,C02291,"Customer 02291",Regular,Female,36-45,Bhubaneswar,Odisha,East,ST014,"Bhubaneswar Patia",Ishita,P015,"Water Bottle","Home & Lifestyle",Lifestyle,2,499.00,0.10,898.20,440.00,458.20,UPI,Completed,934.68
ORD0100039,2025-04-27,C02578,"Customer 02578",Regular,Male,26-35,Pune,Maharashtra,West,ST002,"Pune FC Road",Ishita,P007,"Running Shoes",Footwear,Sports,3,2499.00,0.08,6897.24,4500.00,2397.24,Cash,Returned,7133.32
ORD0100040,2025-04-10,C03661,"Customer 03661",Regular,Female,36-45,Ranchi,Jharkhand,East,ST016,"Ranchi Main Road",Meera,P008,"Casual Sneakers",Footwear,Unisex,1,2199.00,0.00,2199.00,1300.00,899.00,Card,Completed,2032.44
ORD0100041,2025-04-28,C01069,"Customer 01069",Regular,Male,18-25,Jaipur,Rajasthan,North,ST007,"Jaipur MI Road",Diya,P007,"Running Shoes",Footwear,Sports,2,2499.00,0.15,4248.30,3000.00,1248.30,Card,Completed,4029.92
ORD0100042,2025-04-28,C02737,"Customer 02737",Regular,Male,26-35,mumbai,Maharashtra,West,ST001,"Mumbai Central",Diya,P014,"Fitness Band","Sports & Fitness",Fitness,2,1899.00,0.08,3494.16,2240.00,1254.16,Cash,Completed,3477.96
ORD0100043,2025-04-16,C04830,"Customer 04830",Regular,Male,18-25,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Aarav,P010,"Bluetooth Speaker",Electronics,Audio,3,1599.00,0.05,4557.15,2760.00,1797.15,UPI,Completed,4873.30
ORD0100044,2025-04-15,C01951,"Customer 01951",Corporate,Female,26-35,Hyderabad,Telangana,South,ST011,"Hyderabad Banjara Hills",Meera,P019,"Table Lamp","Home & Lifestyle",Home,4,1299.00,0.05,4936.20,2840.00,2096.20,Card,Completed,4811.47
ORD0100045,2025-04-30,C00092,"Customer 00092",Regular,Male,18-25,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Diya,P004,"Women Kurti",Apparel,Women,3,1199.00,0.00,3597.00,2070.00,1527.00,Cash,Completed,3671.17
ORD0100046,2025-04-30,C03094,"Customer 03094",Corporate,Male,26-35,Kochi,Kerala,South,ST012,"Kochi MG Road",Diya,P002,"Casual Shirt",Apparel,Men,2,1299.00,0.05,2468.10,1520.00,948.10,Cash,Completed,2275.42
ORD0100047,2025-04-15,C02220,"Customer 02220",Regular,Male,26-35,Pune,Maharashtra,West,ST002,"Pune FC Road",Ananya,P007,"Running Shoes",Footwear,Sports,1,2499.00,0.00,2499.00,1500.00,999.00,Card,Completed,2583.42
ORD0100048,2025-04-30,C05197,"Customer 05197",Regular,Male,26-35,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Ananya,P011,"Wireless Earbuds",Electronics,Audio,1,2299.00,0.05,2184.05,1360.00,824.05,Card,Completed,2220.07
ORD0100049,2025-04-19,C01388,"Customer 01388",Regular,Male,18-25,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Kabir,P017,"Travel Trolley",Bags,Unisex,2,3999.00,0.05,7598.10,4900.00,2698.10,Card,Completed,7859.95
ORD0100050,2025-04-12,C04275,"Customer 04275",Regular,Male,26-35,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Vikram,P006,"Leather Wallet",Accessories,Men,5,799.00,0.10,3595.50,2100.00,1495.50,Card,Completed,3828.29
ORD0100051,2025-04-23,C02286,"Customer 02286",Corporate,Female,36-45,Jaipur,Rajasthan,North,ST007,"Jaipur MI Road",Aarav,P012,"Smart Watch",Electronics,Wearables,2,3499.00,0.08,6438.16,4260.00,2178.16,UPI,Completed,6074.02
ORD0100052,2025-04-20,C03207,"Customer 03207",Regular,Male,26-35,Ranchi,Jharkhand,East,ST016,"Ranchi Main Road",Ishita,P006,"Leather Wallet",Accessories,Men,1,799.00,0.00,799.00,420.00,379.00,Cash,Completed,768.52
ORD0100053,2025-04-25,C02925,"Customer 02925",Corporate,Female,36-45,Ranchi,Jharkhand,East,ST016,"Ranchi Main Road",Ananya,P011,"Wireless Earbuds",Electronics,Audio,2,2299.00,0.10,4138.20,2720.00,1418.20,UPI,Completed,4466.46
ORD0100054,2025-04-03,C00280,"Customer 00280",Corporate,Female,26-35,Patna,Bihar,East,ST015,"Patna Fraser Road",Ishita,P018,Sunglasses,Accessories,Unisex,2,999.00,0.05,1898.10,1040.00,858.10,Wallet,Completed,1793.71
ORD0100055,2025-04-05,C05139,"Customer 05139",Regular,Male,26-35,Kochi,Kerala,South,ST012,"Kochi MG Road",Kabir,P004,"Women Kurti",Apparel,Women,2,1199.00,0.05,2278.10,1380.00,898.10,Cash,Completed,2358.52
ORD0100056,2025-04-19,C01619,"Customer 01619",Corporate,Male,36-45,Delhi,Delhi,North,ST005,"Delhi South Ex",Vikram,P007,"Running Shoes",Footwear,Sports,2,2499.00,0.00,4998.00,3000.00,1998.00,UPI,Completed,5177.99
ORD0100057,2025-04-07,C02788,"Customer 02788",Regular,Female,56+,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Vikram,P020,"Cushion Set","Home & Lifestyle",Home,2,799.00,0.08,1470.16,820.00,650.16,UPI,Completed,1513.20
ORD0100058,2025-04-21,C00371,"Customer 00371",Corporate,Male,18-25,Bengaluru,Karnataka,South,ST009,"Bengaluru Indiranagar",Meera,P017,"Travel Trolley",Bags,Unisex,1,3999.00,0.10,3599.10,2450.00,1149.10,Cash,Completed,3442.15
ORD0100059,2025-04-09,C03184,"Customer 03184",Regular,Male,18-25,Kochi,Kerala,South,ST012,"Kochi MG Road",Ishita,P010,"Bluetooth Speaker",Electronics,Audio,4,1599.00,0.08,5884.32,3680.00,2204.32,Cash,Completed,5616.12
ORD0100060,2025-04-07,C03835,"Customer 03835",Regular,Male,36-45,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Meera,P009,"Kids Sandals",Footwear,Kids,2,999.00,0.10,1798.20,1120.00,678.20,Wallet,Completed,1846.06
ORD0100061,2025-04-18,C01704,"Customer 01704",Corporate,Female,46-55,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Diya,P005,"Women Handbag",Accessories,Women,1,1799.00,0.03,1745.03,980.00,765.03,UPI,Completed,1657.43
ORD0100062,2025-04-04,C02269,"Customer 02269",Regular,Female,56+,Pune,Maharashtra,West,ST002,"Pune FC Road",Rohan,P009,"Kids Sandals",Footwear,Kids,1,999.00,0.08,919.08,560.00,359.08,UPI,Completed,942.84
ORD0100063,2025-04-25,C00304,"Customer 00304",Regular,Other,26-35,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Vikram,P016,Backpack,Bags,Unisex,3,1499.00,0.05,4272.15,2460.00,1812.15,"Net Banking",Completed,4267.04
ORD0100064,2025-04-28,C03775,"Customer 03775",Regular,Female,26-35,Bhubaneswar,Odisha,East,ST014,"Bhubaneswar Patia",Vikram,P013,"Yoga Mat","Sports & Fitness",Fitness,3,699.00,0.00,2097.00,1080.00,1017.00,UPI,Returned,2058.96
ORD0100065,2025-04-14,C01349,"Customer 01349",Regular,Male,36-45,Kochi,Kerala,South,ST012,"Kochi MG Road",Kabir,P005,"Women Handbag",Accessories,Women,1,1799.00,0.05,1709.05,980.00,729.05,Cash,Completed,1654.42
ORD0100066,2025-04-18,C02423,"Customer 02423",Regular,Male,36-45,Surat,Gujarat,West,ST004,"Surat Ring Road",Vikram,P003,"Denim Jeans",Apparel,Men,1,1999.00,0.05,1899.05,1180.00,719.05,UPI,Completed,2035.05
ORD0100067,2025-04-26,C03629,"Customer 03629",Corporate,Male,36-45,Ranchi,Jharkhand,East,ST016,"Ranchi Main Road",Meera,P004,"Women Kurti",Apparel,Women,1,1199.00,0.03,1163.03,690.00,473.03,Cash,Completed,1164.54
ORD0100068,2025-04-09,C02429,"Customer 02429",Regular,Male,46-55,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Vikram,P003,"Denim Jeans",Apparel,Men,1,1999.00,0.00,1999.00,1180.00,819.00,UPI,Completed,2018.59
ORD0100069,2025-04-26,C03034,"Customer 03034",Regular,Male,36-45,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Diya,P002,"Casual Shirt",Apparel,Men,2,1299.00,0.00,2598.00,1520.00,1078.00,Cash,Completed,2784.75
ORD0100070,2025-04-21,C00669,"Customer 00669",Regular,Male,26-35,Surat,Gujarat,West,ST004,"Surat Ring Road",Diya,P007,"Running Shoes",Footwear,Sports,2,2499.00,0.03,4848.06,3000.00,1848.06,Card,Completed,4967.42
ORD0100071,2025-04-02,C00500,"Customer 00500",Regular,Male,26-35,Surat,Gujarat,West,ST004,"Surat Ring Road",Kabir,P002,"Casual Shirt",Apparel,Men,2,1299.00,0.00,2598.00,1520.00,1078.00,Wallet,Returned,2788.32
ORD0100072,2025-04-20,C01415,"Customer 01415",Regular,Male,36-45,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Vikram,P003,"Denim Jeans",Apparel,Men,2,1999.00,0.00,3998.00,2360.00,1638.00,UPI,Completed,3746.20
ORD0100073,2025-04-28,C00530,"Customer 00530",Corporate,Male,26-35,Patna,Bihar,East,ST015,"Patna Fraser Road",Ananya,P010,"Bluetooth Speaker",Electronics,Audio,1,1599.00,0.03,1551.03,920.00,631.03,UPI,Completed,1637.05
ORD0100074,2025-04-15,C03622,"Customer 03622",Corporate,Female,26-35,Jaipur,Rajasthan,North,ST007,"Jaipur MI Road",Ananya,P003,"Denim Jeans",Apparel,Men,1,1999.00,0.15,1699.15,1180.00,519.15,UPI,Completed,1654.41
ORD0100075,2025-04-28,C03457,"Customer 03457",Regular,Female,18-25,Bhubaneswar,Odisha,East,ST014,"Bhubaneswar Patia",Ishita,P001,"Premium T-Shirt",Apparel,Men,1,899.00,0.08,827.08,520.00,307.08,"Net Banking",Returned,868.17
ORD0100076,2025-04-07,C00755,"Customer 00755",Regular,Other,18-25,Delhi,Delhi,North,ST005,"Delhi South Ex",Diya,P005,"Women Handbag",Accessories,Women,1,1799.00,0.03,1745.03,980.00,765.03,Card,Completed,1844.33
ORD0100077,2025-04-12,C02348,"Customer 02348",Corporate,Male,26-35,Pune,Maharashtra,West,ST002,"Pune FC Road",Aarav,P004,"Women Kurti",Apparel,Women,1,1199.00,0.10,1079.10,690.00,389.10,Card,Completed,1039.65
ORD0100078,2025-04-29,C04911,"Customer 04911",Corporate,Male,46-55,Jaipur,Rajasthan,North,ST007,"Jaipur MI Road",Ishita,P009,"Kids Sandals",Footwear,Kids,2,999.00,0.05,1898.10,1120.00,778.10,UPI,Completed,1870.41
ORD0100079,2025-04-08,C00727,"Customer 00727",Regular,Male,26-35,Pune,Maharashtra,West,ST002,"Pune FC Road",Rohan,P002,"Casual Shirt",Apparel,Men,3,1299.00,0.03,3780.09,2280.00,1500.09,Card,Completed,3916.79
ORD0100080,2025-04-15,C04827,"Customer 04827",Regular,Male,26-35,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Kabir,P015,"Water Bottle","Home & Lifestyle",Lifestyle,2,499.00,0.03,968.06,440.00,528.06,Card,Completed,905.96
ORD0100081,2025-04-03,C04924,"Customer 04924",Corporate,Male,26-35,Bhubaneswar,Odisha,East,ST014,"Bhubaneswar Patia",Kabir,P018,Sunglasses,Accessories,Unisex,3,999.00,0.03,2907.09,1560.00,1347.09,UPI,Completed,3025.95
ORD0100082,2025-04-14,C02650,"Customer 02650",Regular,Female,18-25,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Kabir,P014,"Fitness Band","Sports & Fitness",Fitness,2,1899.00,0.00,3798.00,2240.00,1558.00,Cash,Completed,3561.29
ORD0100083,2025-04-17,C02047,"Customer 02047",Regular,Other,56+,Bengaluru,Karnataka,South,ST009,"Bengaluru Indiranagar",Diya,P010,"Bluetooth Speaker",Electronics,Audio,2,1599.00,0.03,3102.06,1840.00,1262.06,UPI,Completed,3307.77
ORD0100084,2025-04-04,C02816,"Customer 02816",Regular,Male,46-55,Pune,Maharashtra,West,ST002,"Pune FC Road",Diya,P017,"Travel Trolley",Bags,Unisex,1,3999.00,0.05,3799.05,2450.00,1349.05,Card,Completed,3663.10
ORD0100085,2025-04-18,C00875,"Customer 00875",Regular,Male,18-25,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Kabir,P013,"Yoga Mat","Sports & Fitness",Fitness,5,699.00,0.05,3320.25,1800.00,1520.25,Cash,Completed,3360.41
ORD0100086,2025-04-08,C03280,"Customer 03280",Regular,Male,36-45,Pune,Maharashtra,West,ST002,"Pune FC Road",Ananya,P001,"Premium T-Shirt",Apparel,Men,1,899.00,0.08,827.08,520.00,307.08,"Net Banking",Completed,776.42
ORD0100087,2025-04-04,C02985,"Customer 02985",Regular,Male,26-35,Bengaluru,Karnataka,South,ST009,"Bengaluru Indiranagar",Kabir,P007,"Running Shoes",Footwear,Sports,1,2499.00,0.03,2424.03,1500.00,924.03,Cash,Completed,2334.63
ORD0100088,2025-04-02,C02179,"Customer 02179",Regular,Male,56+,Pune,Maharashtra,West,ST002,"Pune FC Road",Aarav,P016,Backpack,Bags,Unisex,1,1499.00,0.05,1424.05,820.00,604.05,UPI,Completed,1402.17
ORD0100089,2025-04-30,C03808,"Customer 03808",Regular,Male,26-35,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Ananya,P006,"Leather Wallet",Accessories,Men,4,799.00,0.05,3036.20,1680.00,1356.20,Card,Completed,3029.91
ORD0100090,2025-04-06,C00608,"Customer 00608",Regular,Male,26-35,Bengaluru,Karnataka,South,ST009,"Bengaluru Indiranagar",Meera,P001,"Premium T-Shirt",Apparel,Men,5,899.00,0.15,3820.75,2600.00,1220.75,UPI,Completed,3515.13
ORD0100091,2025-04-22,C00635,"Customer 00635",Regular,Male,36-45,Gurugram,Haryana,North,ST006,"Gurugram Sector 29",Ishita,P014,"Fitness Band","Sports & Fitness",Fitness,3,1899.00,0.03,5526.09,3360.00,2166.09,UPI,Completed,5869.73
ORD0100092,2025-04-10,C04580,"Customer 04580",Corporate,Male,46-55,Ahmedabad,Gujarat,West,ST003,"Ahmedabad CG Road",Ishita,P015,"Water Bottle","Home & Lifestyle",Lifestyle,2,499.00,0.10,898.20,440.00,458.20,Card,Completed,827.45
ORD0100093,2025-04-04,C02728,"Customer 02728",Corporate,Male,26-35,Surat,Gujarat,West,ST004,"Surat Ring Road",Aarav,P003,"Denim Jeans",Apparel,Men,2,1999.00,0.08,3678.16,2360.00,1318.16,"Net Banking",Completed,3839.22
ORD0100094,2025-04-22,C01075,"Customer 01075",Regular,Male,36-45,Patna,Bihar,East,ST015,"Patna Fraser Road",Kabir,P010,"Bluetooth Speaker",Electronics,Audio,4,1599.00,0.05,6076.20,3680.00,2396.20,UPI,Completed,6047.60
ORD0100095,2025-04-29,C01915,"Customer 01915",Regular,Other,18-25,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Vikram,P003,"Denim Jeans",Apparel,Men,2,1999.00,0.05,3798.10,2360.00,1438.10,UPI,Completed,3812.61
ORD0100096,2025-04-18,C00589,"Customer 00589",Corporate,Male,46-55,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Diya,P014,"Fitness Band","Sports & Fitness",Fitness,4,1899.00,0.00,7596.00,4480.00,3116.00,Card,Completed,7241.44
ORD0100097,2025-04-26,C03232,"Customer 03232",Regular,Female,18-25,Mumbai,Maharashtra,West,ST001,"Mumbai Central",Diya,P005,"Women Handbag",Accessories,Women,1,1799.00,0.10,1619.10,980.00,639.10,UPI,Completed,1646.91
ORD0100098,2025-04-12,C02305,"Customer 02305",Regular,Female,46-55,Ranchi,Jharkhand,East,ST016,"Ranchi Main Road",Kabir,P005,"Women Handbag",Accessories,Women,1,1799.00,0.00,1799.00,980.00,819.00,Card,Completed,1809.72
ORD0100099,2025-04-02,C03839,"Customer 03839",Corporate,Female,26-35,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Meera,P016,Backpack,Bags,Unisex,3,1499.00,0.05,4272.15,2460.00,1812.15,UPI,Completed,4042.64
ORD0100100,2025-04-10,C01974,"Customer 01974",Regular,Female,26-35,Delhi,Delhi,North,ST005,"Delhi South Ex",Rohan,P008,"Casual Sneakers",Footwear,Unisex,1,2199.00,0.03,2133.03,1300.00,833.03,UPI,Completed,2043.65
ORD0100101,2025-04-30,C05045,"Customer 05045",Corporate,Female,56+,Kolkata,"West Bengal",East,ST013,"Kolkata Park Street",Rohan,P013,"Yoga Mat","Sports & Fitness",Fitness,4,699.00,0.03,2712.12,1440.00,1272.12,Card,Completed,2524.18
ORD0100102,2025-04-04,C02056,"Customer 02056",Corporate,Female,56+,Surat,Gujarat,West,ST004,"Surat Ring Road",Aarav,P007,"Running Shoes",Footwear,Sports,2,2499.00,0.05,4748.10,3000.00,1748.10,"Net Banking",Completed,4418.61
ORD0100103,2025-04-14,C03481,"Customer 03481",Regular,Male,36-45,Lucknow,"Uttar Pradesh",North,ST008,"Lucknow Hazratganj",Ishita,P005,"Women Handbag",Accessories,Women,3,1799.00,0.10,4857.30,2940.00,1917.30,Cash,Completed,4479.42
ORD0100104,2025-04-16,C02080,"Customer 02080",Regular,Male,18-25,Chennai,"Tamil Nadu",South,ST010,"Chennai Anna Nagar",Meera,P011,"Wireless Earbuds",Electronics,Audio,1,2299.00,0.03,2230.03,1360.00,870.03,Cash,Completed,2130.29
